Temps (s),CH2 (V),CH3 (V),CH4 (V)
0.0,61.0,-43.0,4.0
2.4009603841536614e-09,61.0,-43.0,5.0
4.801920768307323e-09,61.0,-42.0,5.0
7.202881152460984e-09,62.0,-43.0,5.0
9.603841536614646e-09,62.0,-43.0,5.0
1.2004801920768307e-08,62.0,-44.0,5.0
1.4405762304921968e-08,63.0,-42.0,5.0
1.680672268907563e-08,61.0,-43.0,5.0
1.920768307322929e-08,60.0,-43.0,4.0
2.1608643457382952e-08,62.0,-44.0,5.0
2.4009603841536614e-08,62.0,-42.0,6.0
2.6410564225690275e-08,62.0,-44.0,4.0
2.8811524609843937e-08,62.0,-43.0,6.0
3.1212484993997595e-08,62.0,-43.0,4.0
3.361344537815126e-08,62.0,-43.0,5.0
3.6014405762304924e-08,63.0,-43.0,4.0
3.841536614645858e-08,61.0,-43.0,4.0
4.081632653061224e-08,61.0,-43.0,4.0
4.3217286914765905e-08,62.0,-42.0,4.0
4.561824729891957e-08,62.0,-42.0,4.0
4.801920768307323e-08,62.0,-42.0,4.0
5.0420168067226886e-08,61.0,-42.0,4.0
5.282112845138055e-08,62.0,-42.0,5.0
5.5222088835534215e-08,62.0,-43.0,5.0
5.762304921968787e-08,62.0,-43.0,5.0
6.002400960384153e-08,62.0,-43.0,5.0
6.242496998799519e-08,62.0,-43.0,4.0
6.482593037214886e-08,62.0,-43.0,5.0
6.722689075630252e-08,62.0,-42.0,5.0
6.962785114045618e-08,62.0,-43.0,5.0
7.202881152460985e-08,62.0,-42.0,4.0
7.44297719087635e-08,62.0,-44.0,4.0
7.683073229291716e-08,61.0,-43.0,5.0
7.923169267707082e-08,61.0,-43.0,4.0
8.163265306122448e-08,62.0,-42.0,4.0
8.403361344537815e-08,62.0,-43.0,5.0
8.643457382953181e-08,61.0,-43.0,5.0
8.883553421368547e-08,63.0,-43.0,5.0
9.123649459783914e-08,61.0,-43.0,4.0
9.36374549819928e-08,62.0,-42.0,4.0
9.603841536614646e-08,62.0,-43.0,6.0
9.843937575030011e-08,61.0,-43.0,4.0
1.0084033613445377e-07,62.0,-42.0,4.0
1.0324129651860744e-07,61.0,-43.0,4.0
1.056422569027611e-07,62.0,-42.0,4.0
1.0804321728691476e-07,61.0,-42.0,5.0
1.1044417767106843e-07,61.0,-43.0,5.0
1.1284513805522209e-07,62.0,-43.0,5.0
1.1524609843937575e-07,62.0,-42.0,4.0
1.176470588235294e-07,62.0,-43.0,6.0
1.2004801920768306e-07,61.0,-44.0,4.0
1.2244897959183673e-07,61.0,-43.0,4.0
1.2484993997599038e-07,62.0,-43.0,5.0
1.2725090036014405e-07,62.0,-43.0,4.0
1.2965186074429772e-07,62.0,-43.0,5.0
1.3205282112845137e-07,62.0,-43.0,5.0
1.3445378151260504e-07,63.0,-43.0,5.0
1.368547418967587e-07,62.0,-43.0,5.0
1.3925570228091235e-07,62.0,-43.0,5.0
1.4165666266506602e-07,62.0,-42.0,4.0
1.440576230492197e-07,62.0,-42.0,5.0
1.4645858343337334e-07,61.0,-43.0,5.0
1.48859543817527e-07,62.0,-42.0,4.0
1.5126050420168066e-07,62.0,-43.0,5.0
1.5366146458583433e-07,61.0,-43.0,5.0
1.56062424969988e-07,62.0,-43.0,5.0
1.5846338535414164e-07,62.0,-44.0,4.0
1.6086434573829532e-07,62.0,-43.0,5.0
1.6326530612244896e-07,62.0,-43.0,5.0
1.6566626650660263e-07,62.0,-43.0,5.0
1.680672268907563e-07,62.0,-43.0,5.0
1.7046818727490995e-07,62.0,-43.0,4.0
1.7286914765906362e-07,63.0,-42.0,5.0
1.752701080432173e-07,61.0,-43.0,5.0
1.7767106842737094e-07,62.0,-43.0,4.0
1.800720288115246e-07,62.0,-44.0,4.0
1.8247298919567828e-07,62.0,-43.0,5.0
1.8487394957983192e-07,62.0,-43.0,5.0
1.872749099639856e-07,62.0,-42.0,4.0
