Temps (s),CH2 (V),CH4 (V)
0.0,-1.0,33.0
4.801920768307323e-11,-1.0,33.0
9.603841536614647e-11,-1.0,33.0
1.440576230492197e-10,-1.0,33.0
1.9207683073229293e-10,-1.0,33.0
2.4009603841536614e-10,-1.0,33.0
2.881152460984394e-10,-1.0,33.0
3.3613445378151265e-10,-1.0,33.0
3.8415366146458586e-10,-1.0,33.0
4.3217286914765907e-10,-1.0,33.0
4.801920768307323e-10,-1.0,33.0
5.282112845138056e-10,-1.0,33.0
5.762304921968788e-10,-1.0,33.0
6.24249699879952e-10,-1.0,33.0
6.722689075630253e-10,-1.0,33.0
7.202881152460985e-10,-1.0,33.0
7.683073229291717e-10,-1.0,33.0
8.163265306122449e-10,-1.0,33.0
8.643457382953181e-10,-1.0,33.0
9.123649459783914e-10,-1.0,33.0
9.603841536614646e-10,-1.0,33.0
1.0084033613445379e-09,-1.0,33.0
1.0564225690276112e-09,-1.0,33.0
1.1044417767106843e-09,-1.0,33.0
1.1524609843937576e-09,-1.0,33.0
1.2004801920768309e-09,-1.0,33.0
1.248499399759904e-09,-1.0,33.0
1.2965186074429773e-09,-1.0,33.0
1.3445378151260506e-09,-1.0,33.0
1.3925570228091237e-09,-1.0,33.0
1.440576230492197e-09,-1.0,33.0
1.4885954381752701e-09,-1.0,33.0
1.5366146458583434e-09,-1.0,33.0
1.5846338535414168e-09,-1.0,33.0
1.6326530612244899e-09,-1.0,33.0
1.6806722689075632e-09,-1.0,33.0
1.7286914765906363e-09,-1.0,33.0
1.7767106842737096e-09,-1.0,33.0
1.8247298919567829e-09,-1.0,33.0
1.872749099639856e-09,-1.0,33.0
1.920768307322929e-09,-1.0,33.0
1.9687875150060024e-09,-1.0,33.0
2.0168067226890757e-09,-1.0,33.0
2.064825930372149e-09,-1.0,33.0
2.1128451380552223e-09,-1.0,33.0
2.1608643457382957e-09,-1.0,33.0
2.2088835534213685e-09,-1.0,33.0
2.256902761104442e-09,-1.0,33.0
2.304921968787515e-09,-1.0,33.0
2.3529411764705885e-09,-1.0,33.0
2.4009603841536618e-09,-1.0,33.0
2.4489795918367347e-09,-1.0,33.0
2.496998799519808e-09,-1.0,33.0
2.5450180072028813e-09,-1.0,33.0
2.5930372148859546e-09,-1.0,33.0
2.641056422569028e-09,-1.0,33.0
2.6890756302521012e-09,-1.0,33.0
2.737094837935174e-09,-1.0,33.0
2.7851140456182474e-09,-1.0,33.0
2.8331332533013208e-09,-1.0,33.0
2.881152460984394e-09,-1.0,33.0
2.9291716686674674e-09,-1.0,33.0
2.9771908763505403e-09,-1.0,33.0
3.0252100840336136e-09,-1.0,33.0
3.073229291716687e-09,-1.0,33.0
3.12124849939976e-09,-1.0,33.0
3.1692677070828335e-09,-1.0,33.0
3.2172869147659064e-09,-1.0,33.0
3.2653061224489797e-09,-1.0,33.0
3.313325330132053e-09,-1.0,33.0
3.3613445378151263e-09,-1.0,33.0
3.4093637454981996e-09,-1.0,33.0
3.4573829531812725e-09,-1.0,33.0
3.505402160864346e-09,-1.0,33.0
3.553421368547419e-09,-1.0,33.0
3.6014405762304925e-09,-1.0,33.0
3.6494597839135658e-09,-1.0,33.0
3.697478991596639e-09,-1.0,33.0
3.745498199279712e-09,-1.0,33.0
3.793517406962785e-09,-1.0,33.0
3.841536614645858e-09,-1.0,33.0
3.889555822328932e-09,-1.0,33.0
3.937575030012005e-09,-1.0,33.0
3.9855942376950785e-09,-1.0,33.0
4.0336134453781514e-09,-1.0,33.0
4.081632653061225e-09,-1.0,33.0
4.129651860744298e-09,-1.0,33.0
4.177671068427371e-09,-1.0,33.0
4.225690276110445e-09,-1.0,33.0
4.2737094837935176e-09,-1.0,33.0
4.321728691476591e-09,-1.0,33.0
4.369747899159664e-09,-1.0,33.0
4.417767106842737e-09,-1.0,33.0
4.465786314525811e-09,-1.0,33.0
4.513805522208884e-09,-1.0,33.0
4.5618247298919574e-09,-1.0,33.0
4.60984393757503e-09,-1.0,33.0
4.657863145258103e-09,-1.0,33.0
4.705882352941177e-09,-1.0,33.0
4.75390156062425e-09,-1.0,33.0
4.8019207683073236e-09,-1.0,33.0
4.8499399759903965e-09,-1.0,33.0
