Temps (s),CH1 (V),CH3 (V)
0.0,2.0,6.0
2.4009603841536614e-10,2.0,6.0
4.801920768307323e-10,2.0,5.0
7.202881152460984e-10,2.0,4.0
9.603841536614646e-10,2.0,4.0
1.2004801920768307e-09,3.0,4.0
1.4405762304921968e-09,3.0,5.0
1.680672268907563e-09,3.0,4.0
1.920768307322929e-09,2.0,4.0
2.1608643457382952e-09,2.0,3.0
2.4009603841536614e-09,2.0,2.0
2.6410564225690275e-09,2.0,2.0
2.8811524609843937e-09,2.0,2.0
3.1212484993997598e-09,2.0,2.0
3.361344537815126e-09,2.0,3.0
3.601440576230492e-09,2.0,3.0
3.841536614645858e-09,2.0,4.0
4.081632653061224e-09,2.0,4.0
4.3217286914765905e-09,2.0,4.0
4.561824729891957e-09,2.0,3.0
4.801920768307323e-09,2.0,3.0
5.042016806722689e-09,2.0,3.0
5.282112845138055e-09,2.0,2.0
5.522208883553421e-09,3.0,3.0
5.762304921968787e-09,3.0,3.0
6.0024009603841534e-09,4.0,3.0
6.2424969987995196e-09,3.0,4.0
6.482593037214886e-09,3.0,3.0
6.722689075630252e-09,2.0,3.0
6.962785114045618e-09,2.0,3.0
7.202881152460984e-09,2.0,3.0
7.44297719087635e-09,1.0,3.0
7.683073229291716e-09,2.0,3.0
7.923169267707083e-09,2.0,3.0
8.163265306122449e-09,2.0,3.0
8.403361344537815e-09,3.0,3.0
8.643457382953181e-09,2.0,3.0
8.883553421368547e-09,2.0,3.0
9.123649459783913e-09,2.0,3.0
9.36374549819928e-09,2.0,3.0
9.603841536614646e-09,3.0,3.0
9.843937575030012e-09,3.0,4.0
1.0084033613445378e-08,3.0,4.0
1.0324129651860744e-08,3.0,4.0
1.056422569027611e-08,3.0,4.0
1.0804321728691476e-08,3.0,4.0
1.1044417767106842e-08,3.0,5.0
1.1284513805522208e-08,3.0,4.0
1.1524609843937575e-08,4.0,4.0
1.176470588235294e-08,4.0,4.0
1.2004801920768307e-08,4.0,3.0
1.2244897959183673e-08,3.0,4.0
1.2484993997599039e-08,3.0,4.0
1.2725090036014405e-08,2.0,4.0
1.2965186074429771e-08,2.0,4.0
1.3205282112845138e-08,2.0,4.0
1.3445378151260504e-08,1.0,4.0
1.368547418967587e-08,2.0,4.0
1.3925570228091236e-08,2.0,4.0
1.4165666266506602e-08,2.0,5.0
1.4405762304921968e-08,3.0,5.0
1.4645858343337334e-08,2.0,5.0
1.48859543817527e-08,2.0,5.0
1.5126050420168068e-08,2.0,5.0
1.5366146458583433e-08,1.0,6.0
1.5606242496998797e-08,2.0,6.0
1.5846338535414165e-08,2.0,6.0
1.6086434573829533e-08,2.0,5.0
1.6326530612244897e-08,3.0,4.0
1.6566626650660262e-08,3.0,3.0
1.680672268907563e-08,4.0,3.0
1.7046818727490997e-08,3.0,3.0
1.7286914765906362e-08,3.0,2.0
1.7527010804321726e-08,3.0,2.0
1.7767106842737094e-08,3.0,2.0
1.8007202881152462e-08,3.0,2.0
1.8247298919567826e-08,2.0,3.0
1.848739495798319e-08,2.0,3.0
1.872749099639856e-08,2.0,3.0
1.8967587034813927e-08,2.0,3.0
1.920768307322929e-08,3.0,3.0
1.9447779111644655e-08,3.0,3.0
1.9687875150060023e-08,3.0,3.0
1.992797118847539e-08,2.0,3.0
2.0168067226890756e-08,2.0,3.0
2.040816326530612e-08,2.0,3.0
2.0648259303721488e-08,2.0,3.0
2.0888355342136856e-08,2.0,3.0
2.112845138055222e-08,3.0,3.0
2.1368547418967585e-08,3.0,3.0
2.1608643457382952e-08,3.0,3.0
2.184873949579832e-08,3.0,3.0
2.2088835534213685e-08,3.0,3.0
2.232893157262905e-08,4.0,3.0
2.2569027611044417e-08,4.0,4.0
2.2809123649459785e-08,4.0,4.0
2.304921968787515e-08,4.0,4.0
2.3289315726290514e-08,4.0,3.0
2.352941176470588e-08,4.0,3.0
2.376950780312125e-08,4.0,3.0
2.4009603841536614e-08,4.0,3.0
2.4249699879951978e-08,4.0,4.0
2.4489795918367346e-08,4.0,4.0
2.4729891956782714e-08,3.0,4.0
2.4969987995198078e-08,3.0,4.0
2.5210084033613443e-08,3.0,4.0
2.545018007202881e-08,2.0,4.0
2.569027611044418e-08,2.0,4.0
2.5930372148859543e-08,1.0,4.0
2.6170468187274907e-08,1.0,4.0
2.6410564225690275e-08,2.0,4.0
2.6650660264105643e-08,2.0,5.0
2.6890756302521007e-08,3.0,5.0
2.7130852340936372e-08,4.0,5.0
2.737094837935174e-08,3.0,5.0
2.7611044417767107e-08,3.0,5.0
2.7851140456182472e-08,3.0,5.0
2.8091236494597836e-08,3.0,4.0
2.8331332533013204e-08,4.0,4.0
2.8571428571428572e-08,4.0,4.0
2.8811524609843937e-08,4.0,4.0
2.90516206482593e-08,3.0,5.0
2.929171668667467e-08,2.0,5.0
2.9531812725090037e-08,2.0,5.0
2.97719087635054e-08,2.0,4.0
3.0012004801920766e-08,3.0,4.0
3.0252100840336137e-08,3.0,4.0
3.04921968787515e-08,3.0,4.0
3.0732292917166866e-08,3.0,4.0
3.097238895558223e-08,3.0,4.0
3.1212484993997595e-08,3.0,4.0
3.1452581032412966e-08,3.0,4.0
3.169267707082833e-08,3.0,4.0
3.1932773109243695e-08,3.0,4.0
3.2172869147659066e-08,3.0,4.0
3.241296518607443e-08,4.0,4.0
3.2653061224489795e-08,3.0,4.0
3.289315726290516e-08,3.0,4.0
3.3133253301320524e-08,3.0,4.0
3.3373349339735895e-08,2.0,4.0
3.361344537815126e-08,3.0,4.0
3.3853541416566624e-08,3.0,4.0
3.4093637454981995e-08,3.0,4.0
3.433373349339736e-08,4.0,4.0
3.4573829531812724e-08,4.0,4.0
3.481392557022809e-08,4.0,4.0
3.505402160864345e-08,3.0,4.0
3.5294117647058824e-08,3.0,4.0
3.553421368547419e-08,3.0,4.0
3.577430972388955e-08,3.0,4.0
3.6014405762304924e-08,3.0,4.0
3.625450180072029e-08,3.0,5.0
3.649459783913565e-08,3.0,5.0
3.673469387755102e-08,3.0,5.0
3.697478991596638e-08,3.0,5.0
3.721488595438175e-08,3.0,5.0
3.745498199279712e-08,3.0,5.0
3.769507803121248e-08,3.0,4.0
3.793517406962785e-08,3.0,4.0
3.817527010804322e-08,3.0,4.0
3.841536614645858e-08,3.0,4.0
3.8655462184873946e-08,2.0,4.0
3.889555822328931e-08,2.0,4.0
3.913565426170468e-08,2.0,4.0
3.9375750300120047e-08,2.0,4.0
3.961584633853541e-08,3.0,4.0
3.985594237695078e-08,2.0,5.0
4.0096038415366147e-08,2.0,4.0
4.033613445378151e-08,2.0,4.0
4.0576230492196876e-08,2.0,4.0
4.081632653061224e-08,3.0,3.0
4.105642256902761e-08,2.0,4.0
4.1296518607442976e-08,2.0,4.0
4.153661464585834e-08,2.0,4.0
4.177671068427371e-08,2.0,5.0
4.2016806722689076e-08,3.0,5.0
4.225690276110444e-08,3.0,5.0
4.2496998799519805e-08,3.0,5.0
4.273709483793517e-08,3.0,5.0
4.297719087635054e-08,3.0,5.0
4.3217286914765905e-08,3.0,5.0
4.345738295318127e-08,3.0,5.0
4.369747899159664e-08,3.0,5.0
4.3937575030012005e-08,3.0,5.0
4.417767106842737e-08,3.0,4.0
4.4417767106842734e-08,4.0,3.0
4.46578631452581e-08,3.0,3.0
4.489795918367347e-08,3.0,3.0
4.5138055222088834e-08,3.0,3.0
4.53781512605042e-08,3.0,4.0
4.561824729891957e-08,4.0,4.0
4.5858343337334934e-08,3.0,5.0
4.60984393757503e-08,3.0,4.0
4.633853541416566e-08,3.0,4.0
4.657863145258103e-08,3.0,4.0
4.68187274909964e-08,4.0,4.0
4.705882352941176e-08,4.0,5.0
4.729891956782713e-08,4.0,4.0
4.75390156062425e-08,3.0,4.0
4.777911164465786e-08,3.0,4.0
4.801920768307323e-08,3.0,3.0
4.825930372148859e-08,3.0,4.0
4.8499399759903956e-08,3.0,4.0
4.873949579831933e-08,3.0,4.0
4.897959183673469e-08,3.0,5.0
4.9219687875150057e-08,3.0,5.0
4.945978391356543e-08,3.0,5.0
4.969987995198079e-08,3.0,5.0
4.9939975990396157e-08,3.0,5.0
5.018007202881152e-08,3.0,5.0
5.0420168067226886e-08,4.0,5.0
5.0660264105642257e-08,4.0,5.0
5.090036014405762e-08,4.0,5.0
5.1140456182472986e-08,3.0,5.0
5.138055222088836e-08,3.0,5.0
5.162064825930372e-08,3.0,5.0
5.1860744297719086e-08,2.0,5.0
5.210084033613445e-08,3.0,5.0
5.2340936374549815e-08,3.0,5.0
5.2581032412965186e-08,3.0,4.0
5.282112845138055e-08,4.0,4.0
5.3061224489795915e-08,4.0,4.0
5.3301320528211286e-08,4.0,4.0
5.354141656662665e-08,3.0,4.0
5.3781512605042015e-08,3.0,4.0
5.402160864345738e-08,3.0,4.0
5.4261704681872744e-08,2.0,4.0
5.4501800720288115e-08,2.0,4.0
5.474189675870348e-08,2.0,4.0
5.4981992797118844e-08,1.0,4.0
5.5222088835534215e-08,2.0,4.0
5.546218487394958e-08,2.0,4.0
5.5702280912364944e-08,2.0,4.0
5.594237695078031e-08,3.0,4.0
5.618247298919567e-08,3.0,5.0
5.6422569027611044e-08,3.0,5.0
5.666266506602641e-08,2.0,5.0
5.690276110444177e-08,2.0,4.0
5.7142857142857144e-08,2.0,4.0
5.738295318127251e-08,2.0,4.0
5.762304921968787e-08,2.0,4.0
5.786314525810324e-08,2.0,5.0
5.81032412965186e-08,2.0,5.0
5.834333733493397e-08,2.0,5.0
5.858343337334934e-08,2.0,4.0
5.88235294117647e-08,2.0,4.0
5.906362545018007e-08,2.0,4.0
5.930372148859544e-08,2.0,4.0
5.95438175270108e-08,1.0,4.0
5.978391356542617e-08,1.0,5.0
6.002400960384153e-08,1.0,5.0
6.02641056422569e-08,0.0,5.0
6.050420168067227e-08,0.0,4.0
6.074429771908764e-08,1.0,4.0
6.0984393757503e-08,2.0,4.0
6.122448979591837e-08,3.0,4.0
6.146458583433373e-08,3.0,4.0
6.17046818727491e-08,3.0,3.0
6.194477791116446e-08,2.0,3.0
6.218487394957982e-08,2.0,3.0
6.242496998799519e-08,2.0,3.0
6.266506602641057e-08,2.0,4.0
