Temps (s),CH1 (V),CH2 (V),CH3 (V)
0.0,50.0,-1.0,-52.0
1.2004801920768307e-10,50.0,-1.0,-52.0
2.4009603841536614e-10,50.0,-1.0,-52.0
3.601440576230492e-10,50.0,0.0,-52.0
4.801920768307323e-10,50.0,-1.0,-52.0
6.002400960384153e-10,50.0,-1.0,-51.0
7.202881152460984e-10,50.0,-1.0,-52.0
8.403361344537815e-10,50.0,-1.0,-52.0
9.603841536614646e-10,50.0,-1.0,-52.0
1.0804321728691476e-09,50.0,-1.0,-52.0
1.2004801920768307e-09,50.0,-2.0,-52.0
1.3205282112845138e-09,50.0,-2.0,-52.0
1.4405762304921968e-09,50.0,-1.0,-52.0
1.5606242496998799e-09,50.0,-1.0,-52.0
1.680672268907563e-09,49.0,-1.0,-52.0
1.800720288115246e-09,49.0,-1.0,-52.0
1.920768307322929e-09,49.0,-1.0,-52.0
2.040816326530612e-09,49.0,-1.0,-52.0
2.1608643457382952e-09,49.0,0.0,-52.0
2.2809123649459783e-09,49.0,0.0,-52.0
2.4009603841536614e-09,49.0,-1.0,-52.0
2.5210084033613444e-09,49.0,-1.0,-52.0
2.6410564225690275e-09,49.0,-1.0,-52.0
2.7611044417767106e-09,50.0,-1.0,-52.0
2.8811524609843937e-09,50.0,-2.0,-52.0
3.0012004801920767e-09,50.0,-2.0,-52.0
3.1212484993997598e-09,50.0,-2.0,-53.0
3.241296518607443e-09,50.0,-2.0,-53.0
3.361344537815126e-09,50.0,-2.0,-53.0
3.481392557022809e-09,49.0,-2.0,-53.0
3.601440576230492e-09,49.0,-2.0,-53.0
3.721488595438175e-09,49.0,-2.0,-53.0
3.841536614645858e-09,49.0,-2.0,-53.0
3.961584633853541e-09,49.0,-2.0,-53.0
4.081632653061224e-09,49.0,-2.0,-53.0
4.201680672268907e-09,49.0,-2.0,-52.0
4.3217286914765905e-09,49.0,-2.0,-53.0
4.4417767106842735e-09,49.0,-2.0,-53.0
4.561824729891957e-09,49.0,-2.0,-53.0
4.68187274909964e-09,49.0,-2.0,-53.0
4.801920768307323e-09,49.0,-2.0,-53.0
4.921968787515006e-09,49.0,-2.0,-53.0
5.042016806722689e-09,49.0,-2.0,-53.0
5.162064825930372e-09,49.0,-1.0,-53.0
5.282112845138055e-09,49.0,-1.0,-53.0
5.402160864345738e-09,49.0,-1.0,-52.0
5.522208883553421e-09,49.0,-1.0,-52.0
5.642256902761104e-09,49.0,-1.0,-52.0
5.762304921968787e-09,50.0,-1.0,-52.0
5.88235294117647e-09,50.0,-2.0,-51.0
6.0024009603841534e-09,50.0,-2.0,-51.0
6.1224489795918365e-09,50.0,-2.0,-52.0
6.2424969987995196e-09,50.0,-2.0,-52.0
6.362545018007203e-09,50.0,-2.0,-52.0
6.482593037214886e-09,50.0,-2.0,-52.0
6.602641056422569e-09,50.0,-2.0,-52.0
6.722689075630252e-09,50.0,-2.0,-52.0
6.842737094837935e-09,50.0,-2.0,-52.0
6.962785114045618e-09,50.0,-2.0,-52.0
7.082833133253301e-09,50.0,-2.0,-52.0
7.202881152460984e-09,50.0,-2.0,-52.0
7.322929171668667e-09,50.0,-2.0,-53.0
7.44297719087635e-09,50.0,-2.0,-53.0
7.563025210084034e-09,51.0,-2.0,-53.0
7.683073229291716e-09,50.0,-2.0,-53.0
7.803121248499399e-09,50.0,-2.0,-53.0
7.923169267707083e-09,50.0,-2.0,-53.0
8.043217286914766e-09,50.0,-2.0,-53.0
8.163265306122449e-09,50.0,-2.0,-53.0
8.283313325330131e-09,50.0,-2.0,-53.0
8.403361344537815e-09,50.0,-2.0,-52.0
8.523409363745499e-09,50.0,-2.0,-52.0
8.643457382953181e-09,50.0,-2.0,-52.0
8.763505402160863e-09,51.0,-2.0,-52.0
8.883553421368547e-09,51.0,-2.0,-52.0
9.003601440576231e-09,50.0,-2.0,-52.0
9.123649459783913e-09,50.0,-2.0,-53.0
9.243697478991595e-09,50.0,-2.0,-53.0
9.36374549819928e-09,50.0,-1.0,-53.0
9.483793517406963e-09,49.0,-2.0,-53.0
9.603841536614646e-09,49.0,-2.0,-53.0
9.723889555822328e-09,49.0,-2.0,-54.0
9.843937575030012e-09,49.0,-2.0,-54.0
9.963985594237696e-09,49.0,-2.0,-54.0
1.0084033613445378e-08,49.0,-2.0,-54.0
1.020408163265306e-08,49.0,-2.0,-53.0
1.0324129651860744e-08,49.0,-2.0,-53.0
